_1.365,_0.7588,0.33435,1.716,0.18766,0.1467,0.3831,0.8449,_0.7469,0.9075,_1.864,2.154,_0.0745,_1.577,2.266,_0.1606,1.223,_0.2062,_0.26448,2.425,4.235,_0.2423,_1.988,1.611,_0.9822,_2.336,_0.7156,_0.6364,1.891,_0.4032,_0.3697
_0.3504,_0.4324,1.515,1.004,_0.215525,0.4326,_0.4178,1.592,_1.093,1.623,0.1031,1.13082,0.257966666666667,0.9256,0.4424,0.0535,0.7162,0.4187,0.13645,_0.3627,_1.123,3.746,_1.866,_1.667,0.2731,_2.332,_0.8941,_1.177,0.6022,_0.2846,_0.6217
_0.9261,_0.2617,0.5491,1.593,1.624,_0.4576,_0.7682,_0.738,_0.0902,1.703,0.758,_0.2756,0.697,0.0889,_2.14,0.4858,1.097,0.4161,0.4627,0.0516,_0.0846,5.745,_0.9038,_0.1504,1.254,_1.246,_0.5191,0.3401,0.9522,_4.576,_1.602
_0.2914,0.3106,_2.464,3.475,0.37965,_0.2297,_1.138,_0.0133,_1.73,3.16,0.776,0.425,_0.0444444444444444,1.594,0.4277,0.015,_0.3281,0.2469,_0.03322,0.6476,0.8636,1.353,_2.27,_0.7159,_0.8209,_2.713,_0.6605,_0.9597,_1.516,_0.1068,_2.342
_0.7409,_0.7549,_1.909,_0.3369,2.227,_1.006,_0.85214,_0.5024,0.3418,0.1908,1.462,0.9561,2.616,0.5291,_1.11,0.343,1.431,1.431,_3.167,1.027,0.9064,3.114,_2.106,_0.8343,_1.936,_1.468,0.8284,_4.923,_1.675,0.3742,_1.1
_0.378,_0.1472,_0.4979,1.813,0.0604,_0.9072,_1.353,_1.021,_0.3614,1.215,1.515,_0.197,1.306,0.0836,_0.6942,_0.0722,1.563,0.4489,0.1032,0.1862,0.6987,3.144,_0.9108,_1.034,_2.023,_1.312,_1.316,_1.504,_1.389,_0.2663,_0.4736
_1.415,_0.9198,_4.968,0.5408,0.480575,0.0778,_1.615,_0.9448,_0.33489,3.441,0.4117,0.1451,0.4216375,1.993,_1.622,0.1361,2.227,1.649,0.16393,_0.9929,1.04712,3.12,_2.784,_0.4287,_4.596,_2.816,_0.2449,_2.771,_2.537,_0.5777,3.065
_0.4812,_1.009,_1.744,0.3645,2.189,_1.009,_0.3981,_0.7129,0.4005,2.47,_0.4037,_0.0755,0.9318,1.113,_0.7524,0.1753,1.432,0.7566,_2.388,_0.6922,_0.2762,1.564,_2.21,_0.4362,_2.771,_1.713,_0.1801,_2.199,_1.746,_0.4866,_0.1523
_0.688,_0.1471,_1.334,2.152,2.085,0.0256,0.3,0.7199,_1.525,2.134,0.9272,_0.6038,0.7369,0.7895,_1.716,0.0965,1.692,1.403,_1.57,0.4703,0.9494,6.199,_1.669,_1.271,_1.83,0.8605,_0.4237,_0.7767,_1.575,_2.312,_0.7258
_1.083,_0.8255,_1.418,2.547,1.95356666666667,_0.3551,_0.0104,_0.2159,_1.003,1.84,1.009,0.0461,1.56695,1.09,_1.234,0.1956,2.012,1.294,_1.2098,1.257,0.7901,4.0173,_2.432,_1.336,_2.214,_2.467,_0.061,_2.038,_0.8652,_1.43784444444444,_1.113
_1.272,_0.2827,_3.085,2.627,1.41192857142857,_0.9855,_1.093,_0.191,_0.57189,2.971,1.56,0.1926,1.06055714285714,1.016,_1.471,_0.4336,2.257,1.731,_0.878225,0.3882,0.791,3.02079,_3.283,_0.619,_2.224,_2.562,_0.4333,_2.141,_1.279,_2.297,_1.495
_1.248,_0.4935,_1.486,2.214,1.66057142857143,_0.5979,_1.064,_1.102,_0.7567,2.427,0.9485,_0.068,1.39284285714286,0.9638,_1.99,_0.2436,2.202,1.229,_0.930075,1.171,0.6803,7.23,_2.778,_1.185,_1.76,_2.768,_0.8402,_2.685,_1.16,_1.50496,_2.248
_1.289,_1.01393,_2.865,3.303,2.662,_0.7455,_0.8991,_0.8104,_0.5114,2.672,0.44928,_0.091,1.484,1.441,_1.73,_0.2732,2.173,1.904,_1.474,1.035,1.0153,6.682,_2.74,_0.3093,_0.8518,_1.922,_0.7509,_2.767,_2.122,_2.119,_2.53
0.5901,0.222,_3.794,1.957,1.66666666666667,_1.483,_1.872,_0.5127,0.1827,2.817,1.486,0.6175,1.50881666666667,1.065,_1.032,_0.5539,1.384,2.062,_0.873675,_0.3777,_0.0274,5.314,_3.844,_1.203,_2.303,_2.647,_0.9564,_1.824,_0.9415,_0.6357,_2.388
_0.8132,_0.5346,_1.15907777777778,0.6427,2.101,_0.9218,_1.196,_1.237,_1.077,0.4437,0.9717,_0.0701,2.13,0.5423,_1.295,_0.1014,2.849,0.7449,_0.85865,_0.4817,1.006,3.309,_1.25388,_1.243,_0.7595,_0.5709,0.5807,_1.20446,_1.741,_2.292,_1.192
_1.123,_0.6723,_2.814,0.524,2.72,_0.4881,_0.9414,_1.334,_1.311,2.188,1.817,_0.0844,3.004,2.518,_0.9847,_0.4202,2.63,1.139,_1.764,0.9333,1.464,3.98,_3.553,_0.7378,_2.963,_1.726,1.461,_3.15,_1.485,_2.06,_1.374
_1.031,_0.5205,_3.258,2.07,2.301,0.1492,_0.9826,_0.4718,_0.9438,2.275,2.897,0.3771,2.417,2.116,_0.967,0.2324,3.01,1.315,_3.17,1.438,2.04,2.997,_3.511,_0.5997,_1.4362875,_1.881,1.912,_2.199,_1.883,_2.29,_2.691
_1.093,_0.9366,_2.066,2.887,3.043,_0.435,_0.7917,_0.65,0.0572,2.459,2.027,0.1138,2.726,2.466,_1.395,0.2477,2.308,1.861,_3.283,_0.3563,1.329,3.817,_3.566,_0.448,_3.107,_2.796,1.181,_2.709,_1.778,_3.214,_3
_1.346,_2.082,_4.086,1.762,1.1641875,_0.6844,_1.716,_0.6836,_0.0836,3.236,2.559,0.4962,1.123825,2.408,_1.563,0.3407,2.929,2.044,_0.396475,0.0291,1.571,4.967,_4.354,_0.5284,_4.216,_1.97695,1.384,_3.043,_2.086,_2.864,_2.948
_0.8096,_1.671,_4.312,2.168,1.06896666666667,_0.207,_0.8311,_0.261,0.3836,3.528,3.297,0.3686,0.975177777777778,2.561,_1.001,0.9198,3.408,2.259,_0.368877777777778,0.0622,2.185,6.219,_4.585,_0.5596,_4.478,_2.233,2.088,_8.373,_2.184,_2.502,_2.904
_1.081,_1.419,_3.617,1.188,3.27,_0.3075,_0.9874,_0.3891,0.0721,3.03,2.732,0.0757,2.871,2.212,_1.497,0.8533,3.14,2.829,_3.4,0.1327,1.747,5.153,_3.994,_1.415,_1.47223333333333,_2.416,1.912,_4.349,_2.106,_2.268,_2.692
_1.018,_1.23,_0.59718,4.233,2.986,_0.3562,_0.7512,_0.8157,_0.3063,1.403,1.714,0.06053,2.645,0.927,_0.9169,0.2174,2.048,0.7314,_2.305,_0.3644,0.8979,2.993,_2.781,_0.5418,_1.912,_2.147,1.117,_2.21,_0.85586,_1.7288,_2.022
_0.2798,_1.369,_1.385,0.3109,0.6097,_0.5219,_0.5827,0.3367,_0.0356,1.237,1.78,0.3469,1.22,0.9103,_0.4578,_0.1141,2.098,1.111,_0.4291,0.2233,0.285,4.148,_0.631,_0.8527,_1.081,_0.6185,_0.9724,_1.545,_0.6234,_2.342,_0.7248
_0.9204,_1.227,_1.928,0.5274,_0.12881,_0.8855,_1.357,_0.9775,_1.216,1.219,1.603,0.6637,0.99644,1.341,_1.477,0.0546,2.921,0.078,_0.82395,_0.0962,1.028,2.694,_1.506,_0.8455,_0.6923,_1.367,0.5039,_0.457,1.842,_0.6268,_0.5435
0.0883,0.0712,_0.36872,0.9333,1.489,_0.6768,_0.8342,_0.435,_0.0839,0.174,_0.3712,0.7982625,1.524,0.4965,_0.6333,0.8477,1.409,_0.4419,_0.14196,_0.6016,0.1297,1.08,1.644,_0.5321,_0.5979375,_2.456,_0.019,_1.652,_0.15076,_0.0999,_1.041
_1.217,_0.4254,0.03787,0.7282,0.8145,0.9235,0.4366,0.164,0.2773,0.4906,_0.0973,_0.0897,_0.69,_0.3401,_0.14,_1.025,0.0424,0.49345,_1.666,_0.1204,0.1916,2.548,_0.0169,_0.8163,_1.04765,0.8438,_0.5474,_0.4007,_1.68,_0.3617,0.1785
0.182,0.1656,1.163,0.0613,0.5387,0.8572,0.8518,0.1924,_0.2047,0.3293,0.881,0.5679,0.55,0.24616,_0.3142,_0.1105,_0.1159,_0.4876,_0.5473,_0.9084,_0.8439,1.636,0.2049,_0.7295,_1.506,0.0827,0.1548,_1.433,_1.753,_0.827266666666666,_0.6861
_0.4371,_0.7686,_1.251,0.1719,_0.1285,0.6558,_0.1518,0.2089,0.4554,2.608,0.4447,0.9526,0.7234,1.809,0.1118,_0.3053,_0.6185,0.6735,_0.6027,0.23,0.1632,_0.0385,_1.004,_0.3037,_1.056,_0.8627,_0.1009,0.2313,_0.4988,0.2611,0.3235
_0.4841,_1.299,_3.843,_1.409,_0.331044444444444,_0.2636,_0.74623,0.7053,_0.7572,_0.4775,_0.7091,1.31,_0.33106,0.0362,_1.141,4.428,_0.3422,1.073,0.76674,_0.3361,2.517,_1.983,_1.887,0.0075,1.93,1.811,_0.166,_1.126,_1.782,0.036,_2.394
_0.8218,_0.819,_2.419,_1.2324,_0.360288888888889,_0.8427,_1.891,0.3625,_0.2463,_0.4031,_0.9051,1.433,_0.156877777777778,_0.2652,_0.7798,3.9,_0.2607,1.469,1.1269,_0.2897,0.2283,0.47695,_1.81,_0.628,1.739,1.029,_0.5937,_0.5859,_2.278,_0.109,_1.226
_1.111,_0.3471,_0.9759,_0.333722222222222,_0.45587,_1.757,_1.198,_0.8442,0.3218,1.855,1.039,0.17942,_0.07091,_0.3111,_0.6422,0.2106,_1,_0.0981,0.06,0.8258,0.9499,_0.0631,0.71,_0.5864,0.4589,0.0898,_0.4895,1.123,_0.6774,0.2966,0.15
_0.9203,_1.072,_0.8996,_0.49935,_0.9533,_0.6999,_1.251,_1.449,_0.6491,0.9739,0.6314,_0.0103,_0.2439,_0.3605,_0.0359,0.495,0.0967,0.8839,_1.766,0.3334,_0.3535,0.0814,0.4122,0.6101,_0.8695,0.6052,1.164,0.1864,_0.4317,_0.869,_0.7896
_0.5973,_0.1715,_0.184,1.601,0.0928,_1.253,_1.26,_1.163,_0.4293,0.0409,1.023,_0.07168,_1.139,_0.7847,0.6084,0.5803,_0.3306,0.5394,_0.5188,0.6425,0.3271,_0.0021,0.5744,_0.4121,_1.847,0.3876,0.1927,_0.2159,_1.207,0.3976,0.5217
_1.025,_0.214,0.0286,2.068,0.1949,_1.067,_2.987,_1.342,_0.0953,0.4364,0.8718,_0.0467,_0.675,_0.5247,0.8603,0.8944,_0.3033,0.8482,_0.3406,0.7103,0.5165,0.0727,0.1075,_0.2815,_1.214,0.1355,0.2332,_0.0758,_1.138,0.6725,0.1456
_1.003,_0.116,0.3029,0.0673,0.0273,_1.025,_1.181,_1.313,_1.283,_0.3354,1.448,0.1848,_0.6925,_0.5171,0.2154,1.482,_0.065,0.5873,_0.4958,1.181,_0.1953,0.0291,1.146,_0.3472,0.439555555555555,1.288,1.06,_0.0686,0.2135,_0.6312,_0.0967
0.2185,0.0342,_0.3443,_0.181844444444444,_0.8477,0.1651,_0.6924,_0.2623,_0.533,_0.2704,1.213,0.2606,_0.3633,0.3058,0.0184,0.1509,0.0903,0.2367,_0.9905,0.37,0.5466,0.2183,0.4472,0.17987,_1.743,1.325,_0.6702,0.25804,_0.9097,_0.3918,0.10708
_0.1299,0.112,0.3377,_0.26362,_2.171,_0.7488,_0.8488,_1.375,_0.2394,0.0404,1.413,0.701,_1.258,_0.1371,_0.5789,0.5887,_0.3255,0.0424,_0.4648,0.2443,1.021,1.095,0.9123,_0.019,_0.22722,0.818,_0.4308,0.5527,_1.879,_0.534242857142857,_0.9636
0.1110625,_0.1019,_0.8608,1.569,_0.225,_1.699,1.946,_1.542,_0.3053,1.089,0.5202,_1.176,_0.7271,0.6115,0.4129,0.739,_0.3416,0.222588888888889,_0.1139,0.454,0.3161,0.1853,0.2413,0.101,_1.671,0.1391,_0.419,1.123,_1.108,_0.4552,_0.3818
_0.8197,_0.7158,_1.973,0.4847,0.2223,_0.4489,_0.0877,_1.306,_0.688211111111111,0.3265,_0.0388,1.281,_0.2241,0.4335,_0.0029,0.3537,_0.0922,0.0086,_0.2093,_0.4192,_0.7653,0.1839,_0.05774,0.9209,_0.438,0.1129,_0.1847,_0.1437,_3.117,_1.3351375,_0.134
0.2164,0.1202,_2.027,0.4235,_0.6169,_0.8369,_0.68055,_1.362,_0.5503,0.6335,_0.0796,_0.3743,_0.7025,0.3481,_0.1728,0.7725,_0.3787,0.9979,0.2084,0.4844,2e_04,0.5481,0.4313,0.114,_1.719,1.616,_0.2508,0.1836,_1.932,_0.5618,0.2259
_0.6425,_1.111,_1.383,0.4458,_0.1524375,_0.0419,_0.5581,0.605,0.0993,1.101,0.5144,_1.173,_0.223244444444444,_1.395,_0.6017,_1.976,_0.6088,0.5884,0.167155555555556,0.0863,0.3728,_0.3775,_0.998,_0.0648,0.3908,0.6582,_0.9721,1.728,_0.3838,0.4122,_0.0108
0.4929,_1.845,_0.15002,3.958,_1.931,_1.247,_0.57988,_1.089,_0.4117,_0.0541,_0.67041,_0.6484,_2.611,_0.6332,_0.8392,0.2293,_1.101,_0.4321,1.361,_0.4737,0.281355555555556,_1.019,_0.7051,_0.5354,0.0645,_0.2017,0.8216,0.9999,0.0712,0.6906,0.73624
_0.712,_1.034,_2.259,3.213,_1.122,_0.9667,_1.297,_0.4396,_0.5019,2.007,_0.7696375,0.2574,_0.4252,_1.181,_1.546,_0.5763,0.62,0.6994,0.718,_0.2415,0.2509,_1.469,_3.134,0.8073,_0.7975,1.18,0.4995,_1.14,_0.7159,_0.3503,_1.234
0.4804,_0.4508,_1.745,0.7708,_0.4026,_0.9817,_2.073,_0.1267,0.5796,_0.8861,_0.3156,_0.3938,_0.1254,_0.5832,0.1368,_0.141,_0.2257,1.068,_0.3779,_1.075,_1.468,_1.243,_0.667,_0.4832,_1.617,0.2992,0.0632,0.5746,_0.9342,0.9272,_0.5067
0.02829,_1.215,_2.665,2.132,_0.1879,_1.663,_1.512,0.1291,0.0686888888888889,_0.1406,1.474,1.149,0.02645,0.2147,_1.052,_0.248,_0.7592,_0.1943,0.6895,0.2509,0.9272,0.739,_3.644,0.5585,_0.7044,2.695,_0.469,1.804,0.5686,0.25789,0.5778
_1.082,_1.01,_0.7527,1.795,_0.415,_1.47,_1.569,_0.061,_3e_04,_0.3449,1.475,0.1147,_0.169,_0.0526,_0.8828,0.0605,_1.175,_0.2692,_0.1453,0.4103,0.3279,0.4807,_0.6807,0.2037,_0.602,1.973,0.0898,1.849,0.4136,0.7504,0.6949
_0.0501,0.5862,0.7724,_0.425,_0.17099,_1,_0.1823,0.6766,_0.4192,_1.567,_2.781,_0.552,0.914,1.126,0.8828,0.6566,_0.4476,0.0311,0.2593,0.9895,0.5955,1.936,_0.7807,_0.4612,_0.7625,_1.113,_1.905,0.0443,_0.5735,_0.6141,0.5536
_0.2274,0.4219,0.3077,_0.1781,_0.4239,_0.8743,_0.8612,0.5559,_0.6348,_1.207,_2.905,_0.5262,1.415,1.126,0.5526,0.7487,_0.2615,_0.1298,0.0948,0.7767,0.3686,1.544,_0.7023,_0.3028,_1.054,_0.8483,_1.702,_0.1081,_0.4575,0.4235,0.697
_0.581,_1.146,_1.354,0.9289,_0.8862,0.0015,_0.6795,0.7454,_0.573,_0.6586,0.208988888888889,_1.077,0.5322,0.429,1.196,_0.0463,0.7954,_0.1732,_0.4419,0.1033,0.360277777777778,1.084,_2.104,0.4532,_2.397,0.3992,_1.67,_0.7525,0.6905,0.1334,_0.2041
_0.0566,_1.155,_0.6352,0.1807,_0.7051,_0.5917,_0.31,_0.2179,_0.0333,_0.5766,_1.131,_0.1265,0.3862,0.2277,0.2833,0.1882,_0.2566,_0.2283,0.1101,1.502,1.28,0.5598,0.189,0.0275,_0.5625,_0.1111,_0.4816,0.8259,0.4922,0.3094,_0.0074
0.0359,_0.2388,_0.06654,_0.7926,_0.1621,_0.2752,_0.4183,_0.2514,0.3011,_0.3117,_0.3535,0.44182,0.7579,0.874,_0.35818,0.4044,1.397,0.1873,1.113,0.376,1.049,2.06,_0.1411,0.5666,_0.994688888888889,_0.4319,_1.269,_1.345,_1.651,_0.8105,_0.1406
0.0668,_1.105,0.439,_0.0342555555555556,0.08112,_0.6451,_0.4367,0.0893,_0.0904,_0.2548,_0.857,_0.1106,1.734,0.19832,0.1649,_0.7693,0.5963,0.35545,2.207,0.1824,0.1105,2.065,0.1526,0.3553,_0.2054,_1.307,0.2941,_0.1087,_2.979,_0.2548,_0.285
_0.9358,_2.511,0.6988,_0.6335,0.6078,_1.273,_0.1716,_0.2719,_0.3993,0.5959,0.2679,_0.64,0.7601,0.4381,0.7013,1.46,1.415,_0.07837,_0.50141,0.7021,_0.1709,1.717,_0.56309,_0.09649,_0.8249,_0.16173,_0.5274,0.735,_0.9202,_0.323,0.427
_1.351,_0.9522,_2.114,_0.4436,0.1766,_0.2933,_0.6438,_0.0333,_1.296,2.261,_0.98,1.328,_0.5632,_0.2992,2.987,1.7,2.384,0.7163,0.9052,_0.4941,_0.179,0.37688,_1.068,1.108,_3.09,_1.022,_1.18,_1.64,_2.064,0.0487,0.5464
0.1595,0.131,_0.9817,_0.7233,_0.4371,_0.9839,0.0947,_2.622,_0.79827,0.3576,_0.1077,_0.484,_1.291,_0.5659,1.92,2.354,1.116,_0.1398,_0.4787,_0.5165,0.7373,_0.3572,_0.9662,2.426,_0.8385,_1.403,_0.883,_0.8728,_0.5259,_0.03239,0.008
_0.1243,0.6438,_0.428,_0.5518,_0.1334,_0.9668,0.0902,_1.7,0.0054,0.1853,_1.802,0.7489,_0.0096,_0.1122,3.957,4.079,2.299,_0.6882,0.6292,0.6731,0.2248,0.1931,_1.669,0.1653,_0.8805,_0.9919,_1.073,_2.049,_0.8523,_2.187,_0.3985
_0.1492,0.2122,_0.1739,_1.484,_0.207614285714286,_0.2322,0.2272,_0.3489,_1.836,0.5021,_0.1337,_1.985,1.532,_0.2227,2.507,0.3428,0.2969,_0.3656,0.8012,0.6561,0.5276,_1.368,_0.1563,1.586,_1.975,_0.3523,_0.2147,_1.043,_0.3438,0.0424,0.4279
_1.5,_1.638,_0.59425,_0.3303,_0.1764,0.0807,_0.7882,0.1718,0.50182,2.756,_0.8868,_0.3674,0.1933,_0.2398,0.372,_0.3376,0.2713,_0.4206,0.00236000000000001,0.8808,0.0164,0.6175,_0.3656,_0.2979,_0.3253,_0.4973,_0.27681,_0.51431,_1.747,0.6975,0.1702
_1.985,_1.482,_0.3211,0.23,0.5997,_2.321,_0.7034,0.2643,_0.09636,0.8643,_2.48,_0.9539,0.1144,_0.2409,0.064,_0.4878,1.875,0.1144,0.7936,1.9,2.711,1.107,0.6839,_0.1576,0.0119,_0.02852,_0.8708,_0.407,_0.7756,_0.3733,_1.988
_1.612,_0.6123,_0.477,1.405,0.118157142857143,_2.119,0.604,_0.9383,_1.955,0.4486,0.6943,_0.2214,_0.620233333333333,_1.112,0.1752,_0.8759,2.867,0.06,0.34355,_0.2235,0.3726,3.372,0.6109,_0.0132,_0.191522222222222,0.472,_0.3184,_0.4767,_3.732,0.0917,0.9702
_1.592,_0.905,0.3662,1.282,_0.852,_0.9547,0.3557,_0.1462,_1.366,0.9101,_0.530988888888889,_0.9496,_1.125,_0.5218,0.9619,_0.6121,1.467,_0.2621,0.1572,0.0153,0.463555555555555,4.212,_0.5326,1.52,_0.210725,_0.962,_0.658,_1.395,_2.063,0.9314,_0.1588
_0.7308,_0.9157,_0.08515,_0.5641,0.4633,_2.502,_0.67217,_0.51309,0.26235,_0.3715,_1.853,_1.581,_1.417,_0.5995,_0.3875,_1.519,1.565,0.1457,3.222,_0.6084,0.4995,2.753,1.359,0.039,_0.7127,_1.026,_1.235,1.132,_3.763,_0.04749,1.871
0.822,_0.4335,_0.7602,_0.125,0.0989,0.2892,_0.4175,_0.1636,1.107,1.179,0.9365,_0.2312,_0.9409,_0.6821,1.882,0.8977,3.393,1.235,_1.26,_0.2734,_0.7204,0.9159,_0.6796,_0.878,_0.0222,0.3098,_3.322,_3.822,_2.483,_0.9047,_2.096
0.6963,_0.1827,_0.5278,_0.4144,0.5348,0.1886,_1.035,0.0641,0.3929,_0.1706,0.3446,0.4928,_0.2162,_0.5773,0.3472,0.5108,1.39,0.5645,_0.2812,_0.351,_0.2573,_0.0042,_0.5042,_1.351,_0.1449,_0.268,_1.792,_1.817,_1.628,_0.8043,_0.2816
_0.2884,0.1769,0.617,_0.8075,0.093,_0.1654,_0.0903,0.1056,0.779,0.2312,0.481,0.3667,_0.11529,_0.0832,0.359,0.4389,_0.0213,1.111,_0.2789,0.7713,0.1663,_0.0031,_0.3139,_0.581,_0.0854,0.589,_0.459,_2.208,_1.005,_1.823,_0.657
_1.106,_0.2383,_0.4492,_2.486,0.081375,_0.3486,_1.329,0.7606,0.1043,2.805,_0.0591,0.0738,_0.3517,_1.671,2.134,_0.5459,0.2757,1.517,0.70711,_0.4942,_0.9831,0.2708,_1.15,1.069,_0.8732,_2.572,_1.114,_0.7121,_0.0685,_1.5386,_2.886
_0.4497,_1.044,_1.055,_1.109,_1.483,_0.812,_1.273,_0.6969,2.519,3.084,_1.476,_0.8635,_2.215,_1.213,2.727,1.409,1.894,0.3782,_0.7379,_0.0352,_0.6877,_0.9028,0.7133,0.637,0.13929,_0.33158,_1.057,_0.9357,_0.4885,0.2071,_0.8865
_0.2626,_1.347,_1.74,_1.621,_0.322,_0.8279,_1.175,_0.9612,2.371,3.361,0.1449,0.6406,_0.8342,_0.7598,0.0564,1.329,3.568,1.436,_0.5102,_0.2804,_0.6714,_0.4277,_0.7073,0.919,_0.6295,0.8216,_0.4215,_0.4663,_1.131,_3.888,_1.528
_1.067,_2.078,_2.179,_1.393,_0.2668875,_0.7547,_0.4408,1.102,1.171,0.9487,_0.8415,_0.7999,_0.13829,1.131,_1.821,0.4344,0.03289,1.181,0.40318,_0.6789,0.3161,0.4366,_0.7105,_0.4653,0.5559,0.0819,0.4497,_0.9848,0.9471,0.2958,_1.105
_1.256,_2.285,_3.175,_0.9329,_0.7536,_0.8354,_2.097,0.9597,1.567,1.315,_0.7409,_0.8642,0.8916,0.801,0.221,0.0611,3.038,1.102,_1.521,_0.9049,0.5316,0.9556,_2.313,_0.4686,0.5435,_0.1174,0.1683,_1.209,0.0124,0.3947,_0.2302
